"name","ra","dec","trigger_time","t90","t90_error","t90_start","trigger_name"
"GRB171025913","338.24","-61.52","58051.913113552","   7.936"," 3.167","  -4.608","bn171025913"
"GRB171029020","198.24","-54.25","58055.020012633","  19.712"," 5.910","  -4.352","bn171029020"
"GRB171030729","74.09","-19.55","58056.72899447","   0.096"," 1.016","  -0.064","bn171030729"
"GRB171102107","187.73","54.03","58059.106666538","  48.385"," 0.572","   7.680","bn171102107"
"GRB171103655","5.7","-0.38","58060.655448725","  25.600"," 4.720","  -0.256","bn171103655"
"GRB171106498","274.07","43.12","58063.497792501","  10.752"," 0.724","  -0.512","bn171106498"
"GRB171108656","109.952","29.091","58065.656093797","   0.032"," 0.023","  -0.016","bn171108656"
"GRB171112868","20.467","-59.678","58069.868254058"," 302.789"," 0.923","-199.556","bn171112868"
"GRB171117515","196.81","-33","58074.515033195"," 105.922"," 2.429","  -4.224","bn171117515"
"GRB171119992","135.51","-46.99","58076.991981158","  26.369"," 0.572","   0.832","bn171119992"
"GRB171120556","163.791","22.4584","58077.555583006","  44.062"," 0.383","   0.003","bn171120556"
"GRB171124235","335.52","35.22","58081.234681767","  26.177"," 0.923","  -0.704","bn171124235"
"GRB171126216","348.43","-2.09","58083.215630935"," 165.888"," 5.910","  -1.792","bn171126216"
"GRB171126235","237.84","46.76","58083.235228109","   1.472"," 0.143","   0.000","bn171126235"
"GRB171201068","212.78","23.13","58088.067826324","  59.136"," 1.280","  -0.768","bn171201068"
"GRB171202113","103.03","38.72","58089.112810856","  81.152"," 3.620","   1.536","bn171202113"
"GRB171206122","9.48","-78.2","58093.122047879","  15.360"," 3.083","  -1.536","bn171206122"
"GRB171207055","314.39","51.67","58094.054658007","   0.176"," 0.072","  -0.064","bn171207055"
"GRB171207809","219.42","-38.06","58094.808613104","  25.600"," 3.849","  -0.256","bn171207809"
"GRB171208733","125.49","9.05","58095.733214067","   2.624"," 0.810","  -0.896","bn171208733"
"GRB171209671","239.05","-21.26","58096.671240829","  13.824"," 2.111","  -1.024","bn171209671"
"GRB171210493","335.29","24.44","58097.492537738"," 143.107"," 2.573","   3.584","bn171210493"
"GRB171211844","78.14","1.15","58098.844427465"," 148.226"," 3.125","   5.120","bn171211844"
"GRB171212222","61.49","24.22","58099.222390411","  19.968"," 1.864","  -1.024","bn171212222"
"GRB171212434","39.44","-70.62","58099.433547602","  32.001"," 1.379","  -1.024","bn171212434"
