GRBName,Trig_no,healpix,locmap
bn171103429,531397089,2048,2048
bn171103444,531398357,2048,2048
bn171103451,531398967,2048,0
bn171103458,531399606,2048,0
bn171103479,531401406,2048,2048
bn171103490,531402361,2048,2048
bn171103559,531408342,2048,2048
bn171103570,531409266,2048,2048
bn171103580,531410143,2048,0
bn171103590,531410978,2048,0
bn171103598,531411637,2048,0
bn171103608,531412561,2048,2048
bn171103617,531413349,2048,2048
bn171103655,531416635,2048,0
bn171103691,531419695,2048,2048
bn171103698,531420334,2048,2048
bn171103708,531421210,2048,2048
bn171103718,531422075,2048,2048
bn171103734,531423393,2048,2048
bn171103743,531424220,2048,2048
bn171103754,531425165,2048,2048
bn171103826,531431372,2048,0
bn171103834,531432020,2048,0
bn171103847,531433221,2048,0
bn171103873,531435464,2048,0
bn171103881,531436113,2048,0
bn171103889,531436792,2048,0
bn171103963,531443246,2048,0
bn171103974,531444171,2048,0
bn171104108,531455747,2048,0
bn171104128,531457500,2048,2048
bn171104233,531466578,2048,0
bn171104250,531467983,2048,2048
bn171104260,531468900,2048,0
bn171104363,531477762,2048,0
bn171104390,531480132,2048,0
bn171104410,531481843,2048,2048
bn171104514,531490851,2048,0
bn171104618,531499802,2048,2048
bn171104625,531500422,2048,2048
bn171104634,531501209,2048,0
bn171104649,531502478,2048,0
bn171104670,531504327,2048,2048
bn171104778,531513651,2048,0
bn171104805,531515953,2048,2048
bn171104892,531523454,2048,0
bn171104938,531527408,2048,0
bn171104946,531528127,2048,2048
bn171105026,531535030,2048,2048
bn171105033,531535698,2048,2048
bn171105157,531546351,2048,0
bn171105170,531547520,2048,0
bn171105178,531548171,2048,2048
bn171105294,531558190,2048,2048
bn171105308,531559418,2048,0
bn171105329,531561228,2048,0
bn171105417,531568801,2048,0
bn171105435,531570373,2048,0
bn171105449,531571592,2048,0
bn171105553,531580580,2048,2048
bn171105560,531581219,2048,2048
bn171105570,531582085,2048,2048
bn171105577,531582694,2048,0
bn171105594,531584130,2048,0
bn171105678,531591416,2048,0
bn171105696,531592942,2048,2048
bn171105707,531593894,2048,0
bn171105734,531596234,2048,2048
bn171105869,531607925,2048,2048
bn171105944,531614385,2048,0
bn171105953,531615161,2048,0
bn171105966,531616272,2048,2048
bn171106001,531619262,2048,0
bn171106082,531626263,2048,0
bn171106101,531627933,2048,2048
bn171106110,531628709,2048,0
bn171106250,531640821,2048,31744
bn171106337,531648363,2048,0
bn171106347,531649198,2048,0
bn171106363,531650603,2048,0
bn171106388,531652767,2048,2048
bn171106401,531653887,2048,2048
bn171106428,531656219,2048,2048
bn171106489,531661429,2048,2048
bn171106498,531662214,2048,0
bn171106506,531662893,2048,2048
bn171106522,531664336,2048,2048
bn171106530,531665037,2048,2048
bn171106606,531671605,2048,0
bn171106625,531673214,2048,0
bn171106635,531674111,2048,2048
bn171106646,531675034,2048,0
bn171106715,531680972,2048,2048
bn171106733,531682515,2048,0
bn171106741,531683213,2048,0
bn171106751,531684118,2048,0
bn171106760,531684835,2048,0
bn171106767,531685503,2048,2048
bn171106778,531686417,2048,0
bn171106790,531687421,2048,0
bn171106867,531694075,2048,0
bn171106874,531694695,2048,2048
bn171106881,531695313,2048,0
bn171106920,531698713,2048,0
bn171106998,531705408,2048,2048
bn171107017,531707079,2048,2048
bn171107027,531707915,2048,2048
bn171107063,531711080,2048,2048
bn171107168,531720094,31744,2048
bn171107268,531728763,2048,2048
bn171107283,531730099,2048,2048
bn171107311,531732460,2048,0
bn171107410,531741029,2048,2048
bn171107418,531741748,2048,2048
bn171107427,531742524,2048,0
bn171107435,531743173,2048,0
bn171107447,531744194,2048,2048
bn171107538,531752087,2048,2048
bn171107546,531752764,2048,2048
bn171107554,531753453,2048,2048
bn171107562,531754142,2048,2048
bn171107582,531755891,2048,2048
bn171107672,531763685,2048,2048
bn171107680,531764392,2048,2048
bn171107691,531765336,2048,2048
bn171107701,531766142,2048,2048
bn171107710,531766947,2048,2048
bn171107724,531768156,2048,2048
bn171107791,531773935,2048,0
bn171107800,531774722,2048,2048
bn171107811,531775714,2048,0
bn171107931,531786044,31744,2048
bn171108082,531799124,2048,2048
bn171108216,531810661,2048,2048
bn171108283,531816452,2048,2048
bn171108343,531821647,2048,0
bn171108374,531824301,2048,0
bn171108479,531833351,2048,2048
bn171108562,531840573,2048,2048
bn171108615,531845162,2048,2048
bn171108641,531847373,2048,0
bn171108656,531848691,2048,0
bn171108694,531851942,2048,2048
bn171110352,531995231,2048,2048
bn171110485,532006668,2048,2048
bn171111258,532073467,2048,2048
bn171112868,532212622,2048,0
bn171113741,532288013,2048,2048
bn171115576,532446595,2048,2048
bn171117515,532614103,2048,0
bn171117845,532642621,2048,2048
bn171117976,532653927,2048,2048
bn171119681,532801211,2048,2048
bn171119992,532828112,2048,0
bn171121450,532954101,2048,2048
bn171121835,532987324,2048,2048
bn171124188,533190671,2048,2048
bn171124235,533194681,2048,0
bn171124565,533223252,31744,2048
bn171126216,533365835,2048,0
bn171126235,533367528,2048,0
bn171129311,533633243,2048,2048
bn171130749,533757546,2048,2048
bn171201068,533785065,2048,0
bn171202113,533875351,2048,0
bn171202587,533916360,2048,2048
bn171203139,533963996,2048,2048
bn171204178,534053772,2048,2048
bn171204582,534088697,2048,2048
bn171205170,534139511,2048,2048
bn171205573,534174346,2048,2048
bn171205642,534180269,2048,2048
bn171206122,534221749,2048,0
bn171206162,534225161,2048,2048
bn171206494,534253905,2048,2048
bn171206565,534259994,2048,2048
bn171207055,534302327,2048,0
bn171207165,534311899,2048,0
bn171207486,534339556,2048,2048
bn171207556,534345608,2048,2048
